id,barcode,category,category_code,cpg,ref,name,top_brand
5fb2852cbe37ce522e165cb0,511111917328,Baking,BAKING,5fb2852cbe37ce522e165cae,,test brand @1605535020580,False
58861c7e4e8d0d20bc42c4e3,511111601395,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Miller High Life,False
585b0b23e4b03e62d1ce0e99,511111101451,Breakfast & Cereal,,53e10d6368abd3c7065097cc,,Quaker,False
5332f7ffe4b03c9a25efd16a,511111703334,,,5332f7ffe4b03c9a25efd16b,,All Natural,
5da608291dda2c3e1416ae8b,511111705727,Health & Wellness,,53e10d6368abd3c7065097cc,,Claritin® KIDS,
57d848efe4b0ac389136a2aa,511111302414,Dairy,,559c2234e4b06aca36af13c6,,Athenos,False
5f513ea1be37ce21f1287c03,511111916512,Baking,BAKING,5f513ea0be37ce21f1287c01,,test brand @1599159969028,
5f35a0babe37ce6853cff201,511111815389,Baking,BAKING,5f35a0babe37ce6853cff1fd,,test brand @1597350074404,
5a5d2c1fe4b06ba572cf24a8,511111100065,Beauty & Personal Care,,53e10d6368abd3c7065097cc,,Sedal,
5d603537a3a018514994f424,511111404958,Snacks,,5332f5fbe4b03c9a25efd0ba,,Red Rock Deli Chips,False
5da607a9a60b87376833e34f,511111905684,Health & Wellness,,53e10d6368abd3c7065097cc,,ALKA SELTZER PLUS® SINUS CAP/ GEL/ TAB,
5f493682be37ce52f8314fcd,511111915911,Baking,BAKING,5f493682be37ce52f8314fcb,,test brand @1598633602253,
585a970ee4b03e62d1ce0e91,511111301530,Snacks,,5332f5fbe4b03c9a25efd0ba,,Smartfood,
5f403231be37ce5f78d9ed18,511111515685,Baking,BAKING,5f403231be37ce5f78d9ed14,,test brand @1598042673532,
5f7ba932be37ce2f290fb252,511111916956,Baking,BAKING,5f7ba932be37ce2f290fb251,,test brand @1601939762881,
58863e1ee4b02187f85cdace,511111101222,Deli,,559c2234e4b06aca36af13c6,,Oscar Mayer,False
5a5d234be4b06ba572cf249f,511111400271,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Lech,
5d642d946d5f3b23d1bc7910,511111805137,Magazines,,5d5d4fd16d5f3b23d1bc7905,,Real Simple,
5fb8292abe37ce522e165ce3,511111617785,Grocery,GROCERY,5fb6b608be37ce522e165cb9,,Heiners,False
5d6419346d5f3b23d1bc790e,511111005094,Magazines,,5d5d4fd16d5f3b23d1bc7905,,Parents,
5332fa0ae4b03c9a25efd1dd,511111203117,,,5332f5f2e4b03c9a25efd0aa,,Smart Start,
5ccb2ece166eb31bbbadccbe,511111504788,Condiments & Sauces,,559c2234e4b06aca36af13c6,,The Pioneer Woman,
60074278be37ce360be63a03,511111319849,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1611088504474,False
5d6419746d5f3b23d1bc790f,511111605102,Magazines,,5d5d4fd16d5f3b23d1bc7905,,People en Espanol,
5a5d1fbfe4b0db471c2d0428,511111100294,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Hop Valley,
5f3d6f44be37ce4ddbb1bb3c,511111215493,Baking,BAKING,5f3d6f44be37ce4ddbb1bb3a,,test brand @1597861700914,
580dffade4b0f32b2de21384,511111001836,Beverages,,559c2234e4b06aca36af13c6,,Yuban Coffee,False
5d6423ffa3a018514994f42c,511111105114,Magazines,,5d5d4fd16d5f3b23d1bc7905,,People Magazine,
5f9770bfbe37ce03d08a2d84,511111617068,Baking,BAKING,5f9770bfbe37ce03d08a2d83,,test brand @1603760319682,
5f4a7a5dbe37ce2d95e65ca3,511111516286,Baking,BAKING,5f4a7a5bbe37ce2d95e65c9f,,test brand @1598716509394,
5f35834dbe37ce443bf9d565,511111415343,Baking,BAKING,5f35834dbe37ce443bf9d564,,test brand @1597342541226,
592486bfe410d61fcea3d13d,511111000679,Personal Care,,5332f5f6e4b03c9a25efd0b4,,TIGI,False
5daf3365a60b87376833e35b,511111805908,Breakfast & Cereal,,5332f5f3e4b03c9a25efd0ae,,Autumn's Gold™,
5a5d2a86e4b06ba572cf24a6,511111900108,Beauty & Personal Care,,53e10d6368abd3c7065097cc,,Brooke Bond,
5d6415c66d5f3b23d1bc790c,511111105046,Magazines,,5d5d4fd16d5f3b23d1bc7905,,Food & Wine Magazine,
57c08285e4b0718ff5fcb038,511111702450,,,5332f7a7e4b03c9a25efd134,,Quilmes,
5f208dafbe37ce7958c59523,511111515197,Baking,BAKING,5f208daebe37ce7958c59520,,test brand @1595968943049,
5c9a975495144c182bbc7270,511111208532,Grocery,,5c7470c895144c124ecd5c09,,Test FRS-920 again1,True
5332f709e4b03c9a25efd0f0,511111903857,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Coors Light,False
5dc1aaf51dda2c0ad7da64ad,511111506317,Beverages,,5332f5fbe4b03c9a25efd0ba,,BOLT24,
58861c7f4e8d0d20bc42c4f8,511111801313,Beverages,,5332f5fbe4b03c9a25efd0ba,,Mist Twst,False
5fda3724be37ce09e3515970,511111918363,Baking,BAKING,5fda3724be37ce09e351596f,,test brand @1608136484526,False
5fda3725be37ce09e3515974,511111718406,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1608136485398,False
5fda3724be37ce09e3515971,511111418375,Baking,BAKING,5fda3724be37ce09e351596f,,test brand @1608136484574,False
5fd28f0cbe37ce6d53dfc692,511111518044,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,5e7cf838f221c312e698a628,,Sargento® Cheese,False
5fda3724be37ce09e3515972,511111618386,Baking,BAKING,5fda3724be37ce09e351596f,,test brand @1608136484633,False
5fda3724be37ce09e3515973,511111118398,Baking,BAKING,5fda3724be37ce09e351596f,,test brand @1608136484689,False
5ff73cffbe37ce1e961f325d,511111918646,Baking,BAKING,5ff73cffbe37ce1e961f325c,,test brand @1610038527809,False
5ff73cf9be37ce1e961f3258,511111518600,Baking,BAKING,5ff73cf9be37ce1e961f3256,,test brand @1610038521565,False
5ff73cf9be37ce1e961f325a,511111218623,Baking,BAKING,5ff73cf9be37ce1e961f3256,,test brand @1610038521677,False
5ff74123be37ce1e961f3266,511111418658,Baking,BAKING,5ff74123be37ce1e961f3265,,test brand @1610039587818,False
5ff73cf9be37ce1e961f3259,511111018612,Baking,BAKING,5ff73cf9be37ce1e961f3256,,test brand @1610038521624,False
5ff73cfabe37ce1e961f325b,511111718635,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1610038522559,False
5ff74500be37ce1e961f3279,511111818748,Baking,BAKING,5ff74500be37ce1e961f3276,,test brand @1610040576117,False
5ff74500be37ce1e961f327b,511111518761,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1610040576672,False
5ff75cdebe37ce1e961f328b,511111018773,Baking,BAKING,5ff75cdebe37ce1e961f328a,,test brand @1610046686560,False
5ff74500be37ce1e961f3278,511111618737,Baking,BAKING,5ff74500be37ce1e961f3276,,test brand @1610040576088,False
5ff74500be37ce1e961f327a,511111318750,Baking,BAKING,5ff74500be37ce1e961f3276,,test brand @1610040576148,False
5ff74500be37ce1e961f3277,511111118725,Baking,BAKING,5ff74500be37ce1e961f3276,,test brand @1610040576053,False
5da60785a60b87376833e34e,511111705673,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,,Alka-Seltzer Plus®,False
6000a0c9be37ce2bb7930121,511111019657,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1610653897113,False
6000a0c6be37ce2bb793011f,511111319634,Baking,BAKING,6000a0c6be37ce2bb793011c,,test brand @1610653894519,False
6000b8c3be37ce321363c6c0,511111719670,Baking,BAKING,6000b8c3be37ce321363c6bf,,test brand @1610660035659,False
6000a0c6be37ce2bb7930120,511111519645,Baking,BAKING,6000a0c6be37ce2bb793011c,,test brand @1610653894662,False
6000a0f3be37ce2bb793012a,511111219668,Baking,BAKING,6000a0f3be37ce2bb7930129,,test brand @1610653939508,False
6000a0c6be37ce2bb793011e,511111819622,Baking,BAKING,6000a0c6be37ce2bb793011c,,test brand @1610653894371,False
5f7760f2be37ce1d26d7b7a7,511111216865,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1601659122798,
5332f7ace4b03c9a25efd13a,511111803515,,,5332f7a7e4b03c9a25efd134,,Michelob Ultra,
5daf5d1aa60b87376833e361,511111506034,Breakfast & Cereal,,5332f5f3e4b03c9a25efd0ae,,Cocoa Puffs™,
5f7760f0be37ce1d26d7b7a4,511111316831,Baking,BAKING,5f7760f0be37ce1d26d7b7a2,,test brand @1601659120793,
5afda26ce4b0c11cfecd49f8,511111904502,Snacks,,5a734034e4b0d58f376be874,,Jay's,False
592486bee410d61fcea3d130,511111100782,Grocery,,5332f5f6e4b03c9a25efd0b4,,KNORR,False
57c0812de4b0718ff5fcb02e,511111402527,,,5332f5f2e4b03c9a25efd0aa,,Crunchy Nut,
5a5d1c62e4b0db471c2d0424,511111500384,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Cristal,
5fcda494be37ce688e08b0d0,511111217978,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1607312532874,False
57ebbcc2e4b0ac389136a32c,511111502210,Frozen,,559c2234e4b06aca36af13c6,,Boca,False
5c409ab4cd244a3539b84162,511111004790,Baking,,55b62995e4b0d8e685c14213,,alexa,True
5daf54ec1dda2c3e1416ae98,511111806011,Breakfast & Cereal,,5332f5f3e4b03c9a25efd0ae,,KIX™,
5f19e054be37ce33f74a166f,511111715115,Baking,BAKING,5f19e054be37ce33f74a166e,,test brand @1595531348245,
5d658fc0a3a018514994f430,511111205173,,,53e10d6368abd3c7065097cc,,Allrecipes Special Edition Magazine,
585a966be4b03e62d1ce0e7e,511111901709,Snacks,,5332f5fbe4b03c9a25efd0ba,,Grandma's,True
5f872b7fbe37ce66db5dd976,511111517009,Baking,BAKING,5f872b7fbe37ce66db5dd975,,test brand @1602694015177,
5a5d24c2e4b0db471c2d042b,511111500223,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Sharp's,
5332f7e0e4b03c9a25efd151,511111303381,,,5332f5f3e4b03c9a25efd0ae,,Good Earth,
5db77d891dda2c3e1416ae9f,511111106159,Beverages,,559c2234e4b06aca36af13c6,,Baileys Coffee Products,
5f21c852be37ce7958c59529,511111515241,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,5f10c05cbe37ce238c6cabaf,,FINISH®,
5bcdfc5a965c7d66d92731e9,511111304616,Beverages,,53e10d6368abd3c7065097cc,,V8 Hydrate,
5f494c5e04db711dd8fe87e3,511111016137,Baking,BAKING,5f494c5d04db711dd8fe87e2,,test brand @1598639197925,
5f872b7fbe37ce66db5dd978,511111217022,Baking,BAKING,5f872b7fbe37ce66db5dd975,,test brand @1602694015743,
57ebc017e4b0ac389136a336,511111602118,Baking,,559c2234e4b06aca36af13c6,,Jell-O,False
5f77274cbe37ce6b592e90be,511111616740,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1601644364536,
5f99f71bbe37ce13da9eadeb,511111517160,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1603925787997,
5ab15207e4b0be0a89bb0b04,511111304333,Snacks,,5a734034e4b0d58f376be874,,Goldfish,False
5332f5f6e4b03c9a25efd0b2,511111703983,,,5332f5ebe4b03c9a25efd0a8,,Coca-Cola,
5f493682be37ce52f8314fcf,511111615934,Baking,BAKING,5f493682be37ce52f8314fcb,,test brand @1598633602304,
5f7760f0be37ce1d26d7b7a3,511111816829,Baking,BAKING,5f7760f0be37ce1d26d7b7a2,,test brand @1601659120693,
58861c7f4e8d0d20bc42c500,511111801245,Snacks,,5332f5fbe4b03c9a25efd0ba,,Quaker Rice Cakes,False
5cc725bd166eb31bbbadccbd,511111304777,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Cape Line,
5f3e9173be37ce5a0e01b957,511111415572,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,,test brand @1597935987233,
585a96b3e4b03e62d1ce0e85,511111201632,Grocery,,5332f5fbe4b03c9a25efd0ba,,Near East,
5332f6f4e4b03c9a25efd0ed,511111103868,,,5332f5ebe4b03c9a25efd0a8,,Peace Tea,
5d642dd1a3a018514994f42f,511111505150,Magazines,,5d5d4fd16d5f3b23d1bc7905,,Southern Living,
5332f802e4b03c9a25efd16d,511111003311,,,5332f7ffe4b03c9a25efd16b,,Light & Fit,
5ef3860fbe37ce02da95b72e,511111015024,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,5eebc5412455c97a877ef382,,Clorox,
585a9698e4b03e62d1ce0e83,511111901655,Beverages,,5332f5fbe4b03c9a25efd0ba,,Mountain Dew Diet,False
5a5e36d6e4b06ba572cf24ac,511111500018,Dairy,,559c2234e4b06aca36af13c6,,May-Bud,False
5f5bc4f1be37ce17125ac0eb,511111816614,Baking,BAKING,5f5bc4f1be37ce17125ac0e8,,test brand @1599849713798,
55bf8c6ce4b0d8e685c1489d,511111802563,Beverages,,5332f5fbe4b03c9a25efd0ba,,Gatorade,False
5f358338be37ce443bf9d558,511111415299,Baking,BAKING,5f358338be37ce443bf9d557,,test brand @1597342520131,
5a8c3140e4b07f0a2dac8941,511111304104,Grocery,,5a734034e4b0d58f376be874,,Garden Fresh Gourmet,False
5a5d17ede4b06ba572cf2498,511111000440,Breakfast & Cereal,,5332f5fbe4b03c9a25efd0ba,,AUNT JEMIMA Dry Breakfast Mixes,False
5a5d23f1e4b06ba572cf24a0,511111700258,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,,Olde English,
5f628215be37ce78e6e2efad,511111416661,Baking,BAKING,5f628214be37ce78e6e2efaa,,test brand @1600291349255,
58861c7e4e8d0d20bc42c4f6,511111501336,Snacks,,5332f5fbe4b03c9a25efd0ba,,Matador Snacks,
580dff8fe4b0f32b2de21380,511111401872,Dairy,,53e10d6368abd3c7065097cc,,DiGiorno Cheese,
5d66d516a3a018093ab34725,511111305286,Magazines,,5d5d4fd16d5f3b23d1bc7905,,Country Home Magazine,
5daf4f9ca60b87376833e360,511111105992,Breakfast & Cereal,,5332f5f3e4b03c9a25efd0ae,,Reese's® Puffs,
5daf6e31a60b87376833e365,511111706113,Breakfast & Cereal,,5332f5f3e4b03c9a25efd0ae,,Golden Grahams™,
5332f7ace4b03c9a25efd13b,511111303503,,,5332f7a7e4b03c9a25efd134,,Bacardi,
5f3ff222be37ce1c81aa1e10,511111915638,Baking,BAKING,5f3ff222be37ce1c81aa1e0c,,test brand @1598026274692,
5d66d8c86d5f3b6188d4f049,511111805342,Magazines,,5d5d4fd16d5f3b23d1bc7905,,LIFE Special Edition Magazine ,
5fcff319be37ce6d53dfc691,511111318033,Baking,BAKING,5fcff319be37ce6d53dfc690,,test brand @1607463705032,False
5332fa74e4b03c9a25efd21e,511111003038,,,5332f5ebe4b03c9a25efd0a8,,Sprite,
5f4802bdbe37ce0c83033740,511111615866,Baking,BAKING,5f4802bdbe37ce0c8303373c,,test brand @1598554813744,
